Username,Full Name,Email,Phone,Website,Followers,Following,Biography,Profile Picture URL
30seeds,"30Seeds Real Estate, Finance and Tech Influencers",,,,,,,https://scontent-ber1-1.cdninstagram.com/v/t51.2885-19/462246721_1895114727579544_6186637680766821972_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-ber1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=i9hEp8nMOtQQ7kNvgGkWzX_&_nc_gid=efcdfa1a858f4de4b481e45f2a06ac57&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYCLU4ggDOD8E9E5X3EgSIER8_jkc6EWo6vHXxVmgVtKIQ&oe=679AE1CC&_nc_sid=8ec269
tech.influencers,Tyler Turoldo,,,,,,,https://scontent-ber1-1.cdninstagram.com/v/t51.2885-19/129720917_216496296515312_5372955759110006359_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-ber1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=-vTRYgb2WkAQ7kNvgHfCAE1&_nc_gid=efcdfa1a858f4de4b481e45f2a06ac57&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYB7DunWLzzi8PdWiPeZYLXOpADL9um4ZY1c_YpUcCL04w&oe=679B04DD&_nc_sid=8ec269
tech_influencersai,Ravi Singh,,,,,,,https://scontent-ber1-1.cdninstagram.com/v/t51.2885-19/458388648_1028536801897756_6397865373408567565_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-ber1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=7AQv8ZObWvkQ7kNvgFeUs5N&_nc_gid=efcdfa1a858f4de4b481e45f2a06ac57&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYDyXBWRnsXa1O2FkB4aG2Qedg9Y_bOCFdzZLJqU1EwGfw&oe=679AEE3E&_nc_sid=8ec269
modern_tech_influencers,tech,,,,,,,https://scontent-ber1-1.cdninstagram.com/v/t51.2885-19/90219536_239988440512424_494326593758429184_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-ber1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=wB_e1IHxydoQ7kNvgGbv-tG&_nc_gid=efcdfa1a858f4de4b481e45f2a06ac57&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYCP68IDYNEavAV-QmxLEjXqBAKN8w1Cf6anVD0JIliTqQ&oe=679AF890&_nc_sid=8ec269
ercessinc,Ercess Live - Creative Tech & Influencers,,,,,,,https://scontent-ber1-1.cdninstagram.com/v/t51.2885-19/361571269_303374042151578_9216806330244652582_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-ber1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=HKtIlzSlIKAQ7kNvgEn6qa7&_nc_gid=efcdfa1a858f4de4b481e45f2a06ac57&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYC4OIdw9zqul_aeMNMXNfQh2g_KtBZP39Tq2zsr8Igfvg&oe=679B0438&_nc_sid=8ec269
tech_influencerse,Tech Influencerse,,,,,,,https://scontent-ber1-1.cdninstagram.com/v/t51.2885-19/369762355_1299888274229379_2372328010860866685_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-ber1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=K25PAlfNneYQ7kNvgFVkJ69&_nc_gid=efcdfa1a858f4de4b481e45f2a06ac57&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYD76FM8UuUgrPUHQrAXx39VVQUYEs8U0Skv5kd9MJVcHQ&oe=679B17CB&_nc_sid=8ec269
influencers_tech,Tech Influencers,,,,,,,https://scontent-ber1-1.cdninstagram.com/v/t51.2885-19/117685789_2841893166090061_3460485494446328603_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-ber1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=JDKD4lrrdg4Q7kNvgETiaLn&_nc_gid=efcdfa1a858f4de4b481e45f2a06ac57&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYDa0wIXXckmHiVdwUMpuGH_TqL9BecujK-K6g6bawwm6Q&oe=679AF04A&_nc_sid=8ec269
partnershipagency,Scaling brands with the tech influencers,,,,,,,https://scontent-ber1-1.cdninstagram.com/v/t51.2885-19/473796286_1143773963755232_982345862787635592_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-ber1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=JD8y5gIVeU0Q7kNvgGaKaao&_nc_gid=efcdfa1a858f4de4b481e45f2a06ac57&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYCAzLo9hSdb4dewya__pdVkYrejpWAxq0Yy9951g-dpEg&oe=679AFF3A&_nc_sid=8ec269
imtconf,Influencers Meet Tech,,,,,,,https://scontent-ber1-1.cdninstagram.com/v/t51.2885-19/284518987_357604343026833_8930495410411043358_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-ber1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=tOx2N9wwXHsQ7kNvgG1b6JY&_nc_gid=efcdfa1a858f4de4b481e45f2a06ac57&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYCl8NYNiKXSDZhe8pmY1kYILIQqcRD01__blUJxH8GYDA&oe=679B11C1&_nc_sid=8ec269
we.have.influencers,Tech Influencers Pr,,,,,,,https://scontent-ber1-1.cdninstagram.com/v/t51.2885-19/294871234_374371961474763_3779275864873626304_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-ber1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=8w4dypESXBkQ7kNvgE7q9UX&_nc_gid=efcdfa1a858f4de4b481e45f2a06ac57&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYB2vyfZPgnlQqMkWOmg5glVaT0wVcfrGpqii8gNzP9H6A&oe=679B0CB6&_nc_sid=8ec269
