Name,Phone,Website
Global Healthcare Travel Medicine Clinic,,http://globalhealthcaretc.com/
National Healthcare Pvt. Ltd.,051-524336,http://www.nationalhealthcare.com.np/
National Healthcare Pvt Ltd,051-580236,http://www.nationalhealthcare.com.np/
Green Pastures Hospital,061-430342 ext. 431162,http://appointment.gphospital.org/
Health Home Care Nepal,01-5441613,http://www.healthhomecarenepal.com.np/
We Care Health Center Pvt.Ltd,01-4532181,https://wecarehealthcenter.org/
MediTouch Health Clinic,061-581564,http://meditouch.com.np/
Health At Home,01-5971971,http://www.healthathome.com.np/
Lifeline Health Home Care,980-1102747,https://www.lifelinehealthhomecare.com/
Herbs Production & Processing Co. Ltd.,,http://hppcl.com.np/
Department of Health Services,01-5361712,http://www.dohs.gov.np/
Nepal Healthcare Solutions Pvt. Ltd.,984-1550680,https://www.nhcs.com.np/
Nepal Aushadhi Ltd.,01-4221512,http://nal.com.np/
Ministry of Health & Population,01-4262543 ext. 4262802,http://www.mohp.gov.np/
