country,name,phone,Website,Emails,Phones,LinkedIn,Twitter,Facebook,Instagram
Albania,Baptiste Power Yoga Albania,+355 68 638 1745,www.freeflowyogatirana.com,info@baptistepoweryogaalbania.com,355686381745,https://www.linkedin.com/in/anilda-j-nocka-8252ab65,,https://www.facebook.com/10158908376782487,
Albania,Tirana Yoga,+355 69 514 8796,tiranayoga.com,yogatirana@gmail.com,"355695148796, 20192020200",https://www.linkedin.com/in/jimenalujan,https://twitter.com/tiranayoga,https://www.facebook.com/lovetiranayoga,https://www.instagram.com/lovetiranayoga
Albania,Elisabeta Balance,+355 69 960 5058,www.elisabetabalance.com,info@elisabetabalance.com,355699605058,,,https://www.facebook.com/ElisabetaBalance,https://www.instagram.com/laebeatriz_
Albania,Citruscoconut Yoga | Aerial | Pole Studio,+355 69 867 9610,www.citruscoconut.com,"demo@demo.com, nerdycitrus@gmail.com",9411234567,,,,https://www.instagram.com/citruscoconut
Albania,Moyo Yoga Shala,+355 69 359 9122,moyo.al,"yogashala@moyo.al, moyodrymades@gmail.com",355693599122,,https://twitter.com/molayemi47,https://www.facebook.com/moyo.al,https://www.instagram.com/moyo.drymades
Albania,Core Pilates,+355 69 205 9415,corepilatestirana.com,"info@corepilatestirana.com, corepilatestirana@outlook.com, global@basipilates.com",355692059415,https://www.linkedin.com/in/mehmeturan,https://twitter.com/corepilateson17,https://www.facebook.com/corepilatestirana,
Albania,Lui Wellness Academy,+355 67 678 4367,luiwellnessacademy.com,luiza.skenderas@gmail.com,355676784367,,,,https://www.instagram.com/lui_wellness_academy
Albania,Elite Sporting Club,+355 67 610 3163,elitesportingclub.com,info@elitesportingclub.com,355676103163,https://www.linkedin.com/company/elite-sporting-club,https://twitter.com/SportingElite1,https://www.facebook.com/elitesportingclub,https://www.instagram.com/elitesports.club
Albania,Repeat Fitness & Wellness Club,+355 69 708 0678,repeat.al,"rs.manager@repeat.al, rgreenon@gmail.com, rw.manager@repeat.al, repeatspa@gmail.com, eni.kasmi@repeat.al, line@repeat.ari","355697080345, 355697080880, 355697080960, 355697080778, 355697080678",https://www.linkedin.com/company/repeat-group,https://twitter.com/repeatallcast,https://www.facebook.com/repeatrepeat,https://www.instagram.com/repeat.sports.club
Albania,Nirvana Fitness Club Vlore,+355 69 375 0000,nirvanafitnessclub.com,koridenis27@gmail.com,355693750000,https://www.linkedin.com/in/nirvana-fitness-club-525675231,https://twitter.com/nirvanacenter,https://www.facebook.com/prince4nirvana,
Albania,No Limits (fit & fight academy),+355 69 355 0250,www.nolimits.com.al,"info@nolimits.com.al, nolimits@nolimits.com.al, info@nolimits.com","0693550250, 355693550250",https://www.linkedin.com/in/no-limits-fitness-ba517418b,https://twitter.com/arbenmullai,https://www.facebook.com/nolimits.com.al,https://www.instagram.com/no.limits.kickbox
Albania,Beauty & Healthy institute,+355 69 385 3153,www.institutibeautyhealthy.com,"info@institutibeautyhealthy.com, anmartiko@hotmail.com","355693853153, 0693853153",,,,
