country,name,phone,Website,Emails,Phones,LinkedIn,Twitter,Facebook,Instagram
Armenia,Yerevan Yoga,+374 77 877190,www.yerevanyoga.com,yerevanyoga@gmail.com,37477877190,,https://twitter.com/Yoda4ever,https://www.facebook.com/yerevanyoga,https://www.instagram.com/yerevanyoga
Armenia,Yoga Ashram,+374 91 915502,www.yogaashram.am,yogaashramyerevan@gmail.com,37491915502,,https://twitter.com/anandayogany,https://www.facebook.com/yogashram.am/events,
Armenia,HIMA yoga & pilates studio,+374 55 711799,www.himapractice.com,mary@himapractice.com,37455711799,https://www.linkedin.com/in/stella-bedzhanyan-a44095b1,https://twitter.com/natsu__727__,https://www.facebook.com/himapractice,https://www.instagram.com/hima.practice
Armenia,Shoonch,+374 10 539964,www.shoonch.com,"info@shoonch.com, manager@shoonch.com",37410539964,,https://twitter.com/shoonch_yoga,https://www.facebook.com/ShoonchYogaStudio,https://www.instagram.com/shoonchyogastudio
Armenia,Yoga Federation of Armenia,+374 94 808040,yoga.am,armyoga.am@gmail.com,+374 94 808040,https://www.linkedin.com/company/yoga-am,https://twitter.com/amyoga111,https://www.facebook.com/amyoga111,https://www.instagram.com/yoga.a.m
Armenia,My Yoga Centre,+374 60 527717,www.myyogacentre.am,info@myyogacentre.am,37460527717,https://www.linkedin.com/in/tatev-simone-06871912a,https://twitter.com/chandulalnirmal,https://www.facebook.com/myyogacentre,https://www.instagram.com/myyogicadventure
Armenia,Namastay Yoga Hostel Community Center,+374 95 559550,namastay.am,namastay.am@gmail.com,+374 95 559550,,https://twitter.com/namasteyoga333,https://www.facebook.com/namastay.am,https://www.instagram.com/namastay.am
Armenia,Eco Ayurvedic and Yoga Center,+374 77 737700,zaraakunts.com,"info@zaraakunts.com, zara.akunts@gmail.com, eco.centre.yerevan@gmail.com, zaruchinator@yahoo.com, michelles@onedaydream.com.au",+374 77 737700,,https://twitter.com/ZaraAkunts,https://www.facebook.com/Zara,https://www.instagram.com/zarak
Armenia,Nika's Place,+374 33 836060,nikasplace.org,info@nikasplace.org,+374 33 836060,https://www.linkedin.com/in/nika-love-0723b8b5,,https://www.facebook.com/musicofnikas,https://www.instagram.com/nikas_place_antigravity
Armenia,Indian Yoga School,+374 55 300291,www.bandhayoga.com,"info@bandhayoga.com, workshops@bandhayoga.com, wholesale@bandhayoga.com, nanette@bandhayoga.com, carol@bandhayoga.com, affadmin@bandhayoga.com, fdmanager.bluespirit@gmail.com","3052090725, 5185783720, 5183146407",https://www.linkedin.com/company/bandha-yoga,https://twitter.com/dailybandha,https://www.facebook.com/BandhaYoga,https://www.instagram.com/dailybandha
Armenia,Art of Living Armenia / Ապրելու Արվեստը,+374 95 309574,www.artofliving.org,"secretariat@artofliving.org, austria@artofliving.org, info@artofliving.org, ajay@artofliving.org, registration.support@artofliving.org, webteam.india@artofliving.org, webmaster@artofliving.org, vini.ratheesh@artofliving.org, sonia.arora@artofliving.org, nepal_media@artofliving.org, media.coordinator@artofliving.org, chitra.ramesh@artofliving.org, support@us.artofliving.org, knowyourchild@artofliving.org, knowyourteen@artofliving.org, canada.helpdesk@artofliving.org, berlin2011.info@us.artofliving.org, web@artofliving.org, secratariat@artofliving.org, info.hk@artofliving.org, info@projects.artofliving.org, abha@artofliving.org.au, artdevivre@artofliving.org, kontakt@artofliving.org, chicago@us.artofliving.org, mediation@artofliving.org, live@artofliving.org, navratri@artofliving.org, triad@us.artofliving.org, evanston@us.artofliving.org, web@artofliving.org.sg, contacttaiwan.helpdesk@artofliving.org, nepal.helpdesk@artofliving.org, malaysia.helpdesk@artofliving.org, lebanon.helpdesk@artofliving.org, info@vvmvp.org, cyprusaol@gmail.com, aarti2307@gmail.com, ashis.das@artofliving.org, onlineevents@artofliving.org, cyprus.info@artofliving.org, harmony@elartedevivir.org, jai_gurudev@live.com, novice@vvki.net, chr.seva@artofliving.org, aolnepalmedia@gmail.com, claire@artofliving.org.au, info@artofliving.de, elinamanda@rixtele.com, theartoflivingchennai@gmail.com, internship@artofliving.org, plamenmitev@hotmail.com, artoflivingie@gmail.com, rits81@hotmail.com, gujaratashram@gmail.com, info@srisriyoga.in, vkassam@yahoo.com, savjgd@hotmail.com, support.dvs@in.iahv.org, katja.gregl@artofliving.si, taxi@sumerutravels.com, anilmeera@hotmail.com, bpetan88@yahoo.com, info@artoflivingme.org, national@srisriyoga.in, marijajursic@hotmail.com, emilbrasseaux@gmail.com, umeshbagdi@yahoo.com, info@apexprogram.org, shalin_bhagat@rediffmail.com, prakash_salunke1@rediffmail.com, internationalevents@vvmvp.org, mala_mathuram@hotmail.com, foongjunn92@hotmail.com, myra_yu@yahoo.com, mahesh33jgd@hotmail.com, buvanakumar@yahoo.com, vvkimic@yahoo.com, rups1971@gmail.com, adamfaz@gmail.com, dipadoshi@gmail.com, arunavuthal@yahoo.com, c.glaser@artofliving.de, funkyte@msn.com, ponnusamy78@yahoo.com, holidays@sumerutravels.com, cgihh@aol.com, manubgy@gmail.com, pinkalprajapati09@gmail.com, info.keralashram@gmail.com, srisrienterprises@gmail.com, intl.center@vvmus.org, doug.baxter@artofliving.ca, andhrapradesh@srisriyoga.in, divineteleshop@sumerupromotions.com, mjreiss4mail@gmail.com, neela.srinidhi@gmail.com, aolm.zok@gmail.com, office@artofliving.pl, center.poland@artofliving.pl, glfdelegates@wfeb.org, deepalipatel.aol@gmail.com, debrajoy.eklove@artofliving.ca, luckysund@hotmail.com, train@sumerutravels.com, devna@bomaadventures.com, kirit@fi.co.ke, housing.gujaratashram@gmail.com, rgrondona@hotmail.com, alagnaveronica@gmail.com, caeyler@hotmail.com, test121@yopmail.com, jaroslav.voldrich@email.cz, info@srisriyoga.dk, aollob@hotmail.com, center.poland@atofliving.pl, popemargie@hotmail.com, support@artofliving.store, jketty@hotmail.com, srisashi@hotmail.com, deepak.27aug@gmail.com, dattatray.more@adityabirla.com, ashokbodke@redifmail.com, jivatchandwani@ymail.com, lissa_romero@yahoo.com, julielimang2012@gmail.com, prakrutinetworks@yahoo.com, triveniashram@gmail.com, arti_abhelakh@yahoo.com, artedeviver@artedeviver.pt, palaniappan_al@rediffmail.com, jatinkundalia@rediffmail.com, psamohan@hotmail.com, pennsboro1j@cfl.rr.com, amanjindal@tridentindia.com, contato@artedeviver.org.br, nandinibhatt22@hotmail.com, seryaz@hotmail.com, redbelice@hotmail.com, sukriti_11@hotmail.com, info@artofliving.bg, vijayvargiah@hotmail.com, perrenv@hotmail.com, arunsangeeta@hotmail.com, rajagopal.rajagopalv@gmail.com, rekha_kh@hotmail.com, siddharthrishi@hotmail.com, romicor_7@hotmail.com, ugidwani@hotmail.com, g_arpine@yahoo.com, ontwinjason@yahoo.com, sudhir_urva70@yahoo.com, parul_niraj@yahoo.com, gupta_s_63@yahoo.com, poonamkrishna2000@hotmail.com, andreslarrere@yahoo.com.ar, beamur16@gmail.com, krishnateja.kotikalapudi@gmail.com, helenmclai@gmail.com, praveengowdadkp@gmail.com, kajalar@gmail.com, roopashri.h@gmail.com, vuthiminhngoc1991@gmail.com, lilalamichhane@gmail.com, hanhphamqh@gmail.com, nabinac52@gmail.com, mdaminaol@gmail.com, alkapov@gmail.com, jgdleyuong@gmail.com, evaaminoff@gmail.com, nick@gmail.com, kontakt@artofliving.de, empower.aol@gmail.com, peakwan.aol@gmail.com, jusstine.aol@gmail.com, ravimistry@hotmail.com, ashukhurana@hotmail.com, v.domotor@hotmail.com, info@gyvenimomenas.lt, tamchloe@yahoo.com, jpadmanaban73@yahoo.com, ahchoon_2000@yahoo.com, bhage123@yahoo.com, admin@sumerutravels.com, srisri.cambodia@gmail.com, bandanasharma@gmail.com, artoflivingjo@gmail.com, vivekaol@gmail.com, alokpuri@gmail.com, bahajurdi@gmail.com, deeptichaturvedi11@gmail.com, janroelfs@hotmail.com, admin@aofl.nl, pmorparia@aol.com, roopaae.aol@gmail.com, mahavirrao18@gmail.com, giti@artofliving.org.au","918067612345, 918028432833, 12024925522, 18195323328, 918067262626, 918067262804, 18773991008, 416093536840, 16093536840, 8552024400, 493025358330, 4917668061417",https://www.linkedin.com/company/the-art-of-living,https://twitter.com/artofliving,https://www.facebook.com/ArtofLiving,https://www.instagram.com/artofliving
Armenia,BE Studio Dilijan,+374 44 622970,yogadilijan.tilda.ws,"bestudio.dilijan@gmail.com, noodleandtilde@gmail.com.watch",37477433443,,https://twitter.com/tildapublishing,https://www.facebook.com/lilkicha,https://www.instagram.com/tildafraser
Armenia,Reebok Sports Club,+374 10 363636,www.reeboksportsclub.com,"info@reeboksportsclub.com, hr@reeboksportsclub.com",37410363636,https://www.linkedin.com/company/reeboksportsclub,https://twitter.com/rscarmenia,https://www.facebook.com/reeboksportsclub,https://www.instagram.com/reebok
Armenia,Shanti Yoga Armenia,,kimshanti.com,"marcaskims@fenixteam.com.mx, kimashanibookings@gmail.com",,https://www.linkedin.com/in/kim-shanti-taeny-ab2ba8313,https://twitter.com/kimshanti,https://www.facebook.com/kim.shanti,https://www.instagram.com/kimshantal
