Name,Phone,Website,Emails,Phones,LinkedIn,Twitter,Facebook,Instagram
Global Healthcare Travel Medicine Clinic,,http://globalhealthcaretc.com/,"info@globalhealthcaretc.com, globalhealthcaretc@gmail.com","97761452394, 18557651450",,,https://www.facebook.com/travelmedicine.ghc,https://www.instagram.com/globalhealthcaretravelcouncil
National Healthcare Pvt. Ltd.,051-524336,http://www.nationalhealthcare.com.np/,"fdho@nationalhealthcare.com.np, fm@nationalhealthcare.com.np, bpmd@nationalhealthcare.com.np, fdho@nationalhealthcare.com, avpuv@nationalhealthcare.com.np, dm@nationalhealthcare.com.np, avpuv@nationalhealthcare.com, ed@nationalhealthcare.com","97751524336, 97751580236, 97751580508, 97751528537",https://www.linkedin.com/company/national-healthcare-pvt-ltd,https://twitter.com/nationalhcs1,https://www.facebook.com/p/National-Healthcare-PvtLtd-100067407865632,https://www.instagram.com/nhgcares
National Healthcare Pvt Ltd,051-580236,http://www.nationalhealthcare.com.np/,"fdho@nationalhealthcare.com.np, fm@nationalhealthcare.com.np, bpmd@nationalhealthcare.com.np, fdho@nationalhealthcare.com, avpuv@nationalhealthcare.com.np, dm@nationalhealthcare.com.np, avpuv@nationalhealthcare.com, ed@nationalhealthcare.com","97751524336, 97751580236, 97751580508, 97751528537",https://www.linkedin.com/company/national-healthcare-pvt-ltd,https://twitter.com/nationalhcs1,https://www.facebook.com/p/National-Healthcare-PvtLtd-100067407865632,https://www.instagram.com/nhgcares
Green Pastures Hospital,061-430342 ext. 431162,http://appointment.gphospital.org/,"info.gph@nepal.inf.org, tvolpe@griffinhealth.org",9779862383124,https://www.linkedin.com/company/green-pastures-hospital,,https://www.facebook.com/drpracas.gph,
Health Home Care Nepal,01-5441613,http://www.healthhomecarenepal.com.np/,"hhcn2012@gmail.com, samriddhileoclub@gmail.com",01-5441613,https://www.linkedin.com/in/saru-tuladhar-9b0339175,https://twitter.com/gautamaprakash,https://www.facebook.com/healthhomecarenepal,https://www.instagram.com/samriddhi_leo
We Care Health Center Pvt.Ltd,01-4532181,https://wecarehealthcenter.org/,"info@wecarehealthcenter.org, hr@wecarehealthcenter.org","9774532180, 9774532181, 9714532180, 9801119282",https://www.linkedin.com/company/we-care-health-center-naxal,https://twitter.com/EmmanuelAglamey,https://www.facebook.com/wecare.healthcenternp,https://www.instagram.com/wecare.healthcenter
MediTouch Health Clinic,061-581564,http://meditouch.com.np/,"clinic.meditouch@gmail.com, mail@meditouch.com.np",0615906640615,https://www.linkedin.com/company/meditouch-healthcare-private-limited,https://twitter.com/meditouch4all,https://www.facebook.com/MediTouch,https://www.instagram.com/meditouchskinclinic
Health At Home,01-5971971,http://www.healthathome.com.np/,"info@healthathome.com.np, inquiry@healthathome.com.np, hr@healthathome.com.np, care@healthathome.com.np, admin@example.com","9779818360166, 97714116024",https://www.linkedin.com/company/healthathomeglobal,https://twitter.com/valeighgirlnp,https://www.facebook.com/healthathome,https://www.instagram.com/healthathome.com.np
Lifeline Health Home Care,980-1102747,https://www.lifelinehealthhomecare.com/,lifelinecarenepalcd@gmail.com,"9801102740, 9801102747",https://www.linkedin.com/company/lifeline-health-home-care-pvt-ltd,https://twitter.com/HCRtips,https://www.facebook.com/p/Lifeline-Health-Home-Care-Pvt-Ltd-100071823399271,https://www.instagram.com/lifelinehealthhomecare
Herbs Production & Processing Co. Ltd.,,http://hppcl.com.np/,"info@hppcl.com.np, dharmalal.nepal@hppcl.com.np, hppcl.jadibuti@gmail.com.np, tarahara@hppcl.com.np, adibuti@gmail.com.np, bppcl.jadibuti@gmail.com.np, hppcl.jadibuti@gmail.com","97714992149, 97714992152, 97725476463",https://www.linkedin.com/company/herbs-production-and-processing-company-limited,https://twitter.com/hppcl_sancho,https://www.facebook.com/p/Herbs-Production-Processing-Company-Ltd-100063865140594,https://www.instagram.com/hppcl_sancho
Department of Health Services,01-5361712,http://www.dohs.gov.np/,"info@dohs.gov.np, nursing2075@gmail.com, dohs@gmail.com, csd.teku@gmail.com, socialhealth2075@gmail.com, aaashis7@yahoo.com, ewarsedcd@gmail.com, b.bandana12@gmail.com, meor@abtassoc.com.au, docanup11@gmail.com, leprosycontrol@gmail.com, lcd@mohp.gov.np, thapa2suresh@gmail.com, vaccines@who.int, epsp@peace.gov.np, rudra@example.com, mpsinfo@who.int, info@dols.gov.np, dohs_dgoffice@ntc.net.np, dgoffice@ntc.net.np, email-dohs_dgotlice@ntc.net.np, info@dohs.gov, roshanituitui@gmail.com, drmadhabprasad@gmail.com, menukamoktan@gmail.com, pandey.kabita1234@gmail.com, anup@example.com, hira@example.com, 2075@gmail.com, bookorders@who.int, info@dahs.gov, hd.prov3@gmail.com, hd.gandaki@gmail.com, dohsteku@gmail.com","9774248735, 9775124570, 97714261712",,https://twitter.com/nhea_nepal,https://www.facebook.com/p/Nursing-and-Social-Security-Division-100069244417996,https://www.instagram.com/dohscares
Nepal Healthcare Solutions Pvt. Ltd.,984-1550680,https://www.nhcs.com.np/,info@nhcs.com.np,"9779841550680, 977014530384",https://www.linkedin.com/in/marieta-jones-7742b4a2,https://twitter.com/samanthavkeller,https://www.facebook.com/nepalhealthcaresolutions,https://www.instagram.com/newhanovercosch
Nepal Aushadhi Ltd.,01-4221512,http://nal.com.np/,"admin@nal.com.np, procurement@nal.com.np, procument@nal.com.np, tikaramnaryan5@gmail.com, nal@mos.com.np, aag.mgmt@oagnep.gov.np, dir.mgnt@oagnep.gov.np, nals.bookblog@gmail.com","97715321512, 97714226116",,https://twitter.com/nepalaushadhi,https://www.facebook.com/NorthAmericanLightingInc,https://www.instagram.com/nalcompanypackaging
Ministry of Health & Population,01-4262543 ext. 4262802,http://www.mohp.gov.np/,"info@mohp.gov.np, sil@mohp.gov.np, it.section@mohp.gov.np, heocmohp@gmail.com, prabakta@mohp.gov.np, info@bems.mohp.gov.np, adhikarispk@gmail.com, hefumoh@gmail.com, info@dhsprogram.com, sil@moh.gov.np, hiv@whosea.org, info@mofe.gov.np, hiv@searo.who.int, library@searo.who.int, email-khemrajshrestha@psi.org.np, info@newera.com.np, clausdarmstadt@hotmail.com, suraj@info.com.np, nepalnap@gmail.com, crehpa@crehpa.wlink.com.np, publications@whosea.org, aaahrh.net@gmail.com, pradip.amdaminds.np@gmail.com, plhes.hcdmohp.@gmail.com, socialhealth2075@gmail.com, nursing2075@gmail.com, drbacharya@hotmail.com, plhcs.hcdmohp@gmail.com, hrd.moga@gmail.com, ncasc@mos.com.np, mcs.mohp@gmail.com, drgunish@gmail.com, subedi.giriraj@gmail.com, pubrights@worldbank.org, sumanniroula1@gmail.com, joshi_inn@hotmail.com, adhikarisu@who.int, chandra.sunar123@gmail.com, imunepal@gmail.com, abinash.d.joshi@gmail.com, sharmapras@who.int, amritgurung2200@gmail.com, progressreportmohp@gmail.com, mkaeclass@gmail.com, inservice@nasc.org.np, inservicenasc@gmail.com, mohp.planning@gmail.com, dineshfpn@beci.com.np, ewarsedcd@gmail.com","9774262696, 977014262543, 97715521333, 97714262543",https://www.linkedin.com/company/ministry-of-health-lumbini-province,,https://www.facebook.com/mohpnep,
Global Healthcare Travel Medicine Clinic,,http://globalhealthcaretc.com/,"info@globalhealthcaretc.com, globalhealthcaretc@gmail.com",,,,,
