Query,Country,Name,Phone,Website,Emails,Phones,LinkedIn,Twitter,Facebook,Instagram
health industry in albania,albania,Health Care Albania,+355 68 200 0911,healthcarealbania.com,"info@healthcarealbania.com, info@healthcarekosovo.com, hlthadmnlife@gmail.com, healthcare.albania@gmail.com",355682000911,,https://twitter.com/dermacentertr,https://www.facebook.com/AlconaHealthCenter,https://www.instagram.com/healthadminlife
health industry in albania,albania,Health Medical Center,+355 69 209 6720,hmc.com.al,"info@hmc.com.al, message.footeremailinfo@hmc.com.al",355692096720,https://www.linkedin.com/company/health-medical-center-albania,https://twitter.com/alhamaed1,https://www.facebook.com/hmc.com.al,https://www.instagram.com/hmc.com.al
health industry in albania,albania,ABC Health Center,+355 69 409 6078,abchealth.org,"healthcenter@abchealth.org, shkurti@abchealth.org, ceo@abchealth.org, a.shkurti@abchealth.org, mailaj@gmail.com, maksimcela@albmail.com, lusiana.mailaj@gmail.com",355694096078,https://www.linkedin.com/company/abc-health-foundation,https://twitter.com/abchealthafrica,https://www.facebook.com/ABCHEALTHINFO.ORG,https://www.instagram.com/abchealth
health industry in albania,albania,“Mental Health Albania “,+355 69 748 2338,apjetra.wordpress.com,adelina.pjetra@gmail.com,0697482338,,,https://www.facebook.com/wpastra,https://www.instagram.com/instawithapra
health industry in albania,albania,Hygeia Hospital,+355 4 239 0000,hygeia.al,"info@hygeia.al, hr@hygeia.al, ivfsecretary@hygeia.al",+355 4 239 0000,https://www.linkedin.com/company/hygeia-hospital-tirana,https://twitter.com/hygeiababy,https://www.facebook.com/HygeiaCares,https://www.instagram.com/hygeiaplasticsurgery
health industry in albania,albania,Winpharma Albania,+355 69 403 4621,winpharma.al,"info@winpharma.al, sales@winpharma.al, a.mema@winpharma.al",355689021833,https://www.linkedin.com/company/winpharma-al,https://twitter.com/multitimeIT,https://www.facebook.com/winpharma.al,https://www.instagram.com/winpharma.al
health industry in albania,albania,National Association of Public Health Albania,,www.facebook.com,"martin@hotmail.com, ricky@yahoo.com, elizabeth@yahoo.com, denise@yahoo.com, chuck@yahoo.com, joshua@yahoo.com, romeo@yahoo.com, gabriel@yahoo.com, tony@yahoo.com, chandra@yahoo.com, scott.newman71@yahoo.com, fabio_vera@aol.com, gary@aol.com, ordercheesecake@aol.com, dimatteorosario@msn.com, dhanrajd@msn.com, giggleface76@msn.com, emanuelsch@msn.com, victor742@msn.com, signatureaccents@aol.com, smithwrightco@aol.com, aapearl@aol.com, ricklaw5@msn.com, samigraytattooart@aol.com, bill-@hotmail.com, mikerobertsverulam@msn.com, hes1902@aol.com, thatsdancn@aol.com, exquisitiques@aol.com, animalcareclinic@aol.com, sbw4191@aol.com, c122993@aol.com, emeloul@aol.com, aefurniturestore@aol.com, tmmll@aol.com, caliesacre@aol.com, jvpowerwash15@aol.com, mancavemetal@aol.com, ppoolcare@aol.com, royalant@aol.com, yonansjewelry@aol.com, tristatewomenvet@aol.com, mooreod@aol.com, scrubsandmore2006@aol.com, bntcbas5@aol.com, bwfngifts@aol.com, prestigediamonds@aol.com, arodri3662@aol.com, elettromondo@msn.com, thebigredartssociety@hotmail.com, inpresjubiladosypensionados@gmail.com, rajkumar@gmail.com, mdabdulk909@gmail.com, jaidulmondal535@gmail.com, aziz@gmail.com, the.rattler@hotmail.com, sidbinks@aol.com, ctoilkings@aol.com, marija_kiss_you@msn.com, missguided_69@msn.com","1209394713217, 20531316728, 1015400999050, 6013179020, 6462622186, 7809781012, 3463359716, 01813109105, 2014884280, 2096569219, 2125336390, 2568291719, 2814892929, 3524439456, 4106336677, 4238375439, 5616429677, 6158963434, 7032571441, 9727610358, 9037902297, 5165514354, 8653661269, 7038302020, 5622690486, 0492863109, 2127301731, 923133373138, 1240245742874",https://www.linkedin.com/company/facebook,https://twitter.com/facebook,https://www.facebook.com/login.php,https://www.instagram.com/facebook
health industry in albania,albania,PROFARMA Sh.a,+355 4 238 9602,www.profarma.al,"info@profarma.al, drug.safety@profarma.al, eva_troja@yahoo.com",35542389602,https://www.linkedin.com/company/profarma-sh-a,https://twitter.com/profal,https://www.facebook.com/Prodhime.Farmaceutike,https://www.instagram.com/profarma_sh_a
health industry in albania,albania,Luis Medical Aesthetic,+355 69 364 0444,www.luismedicalaesthetic.com,luismedicalaesthetic@gmail.com,+355 69 364 0444,https://www.linkedin.com/in/anisa-t-a34226a1,,https://www.facebook.com/p/Luis-Medical-Aesthetic-100075963469809,https://www.instagram.com/luis.aesthetic_
health industry in albania,albania,Health Tourism Albania,+355 4 433 0146,healthtourismalbania.al,info@healthtourismalbania.al,"10550775123, 393762385233",https://www.linkedin.com/company/health-tourism-albania,https://twitter.com/healthtourismal,https://www.facebook.com/trmcal,https://www.instagram.com/healthtourismalbania
health industry in albania,albania,Albania Medical Tour,+355 68 200 4418,albmedtour.it,"info@albmedtour.it, emailinfo@albmedtour.it, info@kzp.al","355682004418, 355696064608",,https://twitter.com/MediTourAl,https://www.facebook.com/AMT.estetica,https://www.instagram.com/albaniamedicaltour
