Query,Country,Name,Phone,Website,Emails,Phones,LinkedIn,Twitter,Facebook,Instagram
health industry in canada,canada,"Tia Health - Online Canadian Doctors, No fee $0 with health card",,www.tiahealth.com,"info@tiahealth.com, care@tiahealth.com, support@tiahealth.com, techsupport@agentplus.ca, physicianrecruitment@insighealth.com",16477925788,https://www.linkedin.com/company/tia-health,https://twitter.com/TiaHealth,https://www.facebook.com/TiaHealth,https://www.instagram.com/tiahealth
health industry in canada,canada,Canadian Health Systems Inc,+1 888-225-8310,www.chsinc.ca,"info@chsinc.ca, ttyson@chsinc.ca, gmmcreception2930@gmail.com, info@praxair.com, help@ottawaaa.org, info@lesplandedental.com, info@barrhavenchiropractic.com, info@athletescare.com, legacyfinservices1@gmail.com","18882258310, 6138208191, 5198966699",,https://twitter.com/doctortyson,https://www.facebook.com/CHSInc,https://www.instagram.com/chs_inc
health industry in canada,canada,Cold Lake Healthcare Centre,+1 780-639-3322,www.albertahealthservices.ca,"peter.parker@albertahealthservices.ca, firstname.lastname@albertahealthservices.ca, covid.result@albertahealthservices.ca, ipcsurvstdadmin@albertahealthservices.ca, physicianleads@albertahealthservices.ca, foundation@albertahealthservices.ca, no-reply@albertahealthservices.ca, ehealthsupport@cgi.com, billinginquiry@ahs.ca, jennifer.wilson2@albertahealthservices.ca, christina.harvey@albertahealthservices.ca, ahsidprogram@ahs.ca, cpsm.customersupport@ahs.ca, ahs.apvendorrequests@ahs.ca, accsp@albertahealthservices.ca, hrcontactcentre@albertahealthservices.ca, interpretation.services@ahs.ca, translation.services@ahs.ca, rliedtke1@athabasca.edu, joelle.fawcett-arsenault@ahs.ca, webcomm@ahs.ca, gbmclinic@gmail.com, walden@panthersportsmedicine.com, bridges@memlane.com, ehabmagdi@hotmail.com, ccmendis@hotmail.com, cityscapephysiotherapy@gmail.com, asemkaber@gmail.com, edgesportphysio@gmail.com, zahidrafiq@msn.com, chrclientservices@datacm.com, lscheelar@hotmail.com, access.ereferral@ahs.ca, vfox002@gmail.com, manyas@alumni.uleth.ca, pts4chg@gmail.com, brand.toolkit@ahs.ca, frn@leduc-county.com, gillianb@pilgrimshospice.com, service@acadiapt.com, info@lacombehealthtrust.com, clinic@clearwaterphysio.com, admin@sexsmithphysio.com, tricocentre@panthersportsmedicine.com, info@epssworks.com, south@calgaryyouthphysio.com, inhome@adamphysio.com, delnorte@btps.ca, calgary@bethanyseniors.com, fpmc@hotmail.com, lethabcsart@hotmail.com, ealadi@hotmail.com, faisalalmasoudi@hotmail.com, ehealthccaccessrequests@gov.ab.ca, revivept.albany@gmail.com, fadel202@icloud.com, mahmuddurar@gmail.com, primehealthcare.el@gmail.com, evanstonclinic@gmail.com, abzayani@gmail.com, reddeerlocum@gmail.com, myhealth.yyc@gmail.com, info.idealmedicalcenter@gmail.com, zahidaawan27@gmail.com, cindeecmc@gmail.com, csmcmgr@gmail.com, mhdrugcoalition@gmail.com, junctionpointphysicaltherapy@gmail.com, cochranephysio@gmail.com, medicarecliniccalgary@gmail.com, fsdayprogram@gmail.com, tmeg_operation@trendmicro.com, candida.strohan@ahs.ca, ahshelp@datacm.com, jasons@hotmail.com, j.l.cookson@hotmail.com, tracy_forbes@hotmail.com, circleofhearts@hotmail.com, gracia_irac@yahoo.com, happyfeettogo18@gmail.com, hunagpetert@gmail.com, lin.jakeman@gmail.com, training@csagroup.org, edbackpain@gmail.com, byron.hirsch@gmail.com, elangsample@gmail.com, tobias.goldengoose@gmail.com, feet.terrific@gmail.com, footcaretherapy01@gmail.com, dclefebvre@gmail.com, rdfoodbank@hotmail.com, atlscalgary@gmail.com, wellonyourwaystollery@ahs.ca, info@thevillagefrn.ca, volunteer_resources@ahs.ca",7804539440,https://www.linkedin.com/company/alberta-health-services,https://twitter.com/AHS_media,https://www.facebook.com/albertahealthservices,https://www.instagram.com/albertahealthservices
health industry in canada,canada,Lakeside Medical Clinic,+1 306-374-6884,lakeside.ca,"admin@lakeside.ca, jobs@lakeside.ca, admin@equineevents.org, cmd@vfw5867.org, yogurtbarns@att.net","3063746884, 3063742552",,https://twitter.com/SDSOLakeside,https://www.facebook.com/groups/WhatsGoingOnLaksideCA,
health industry in canada,canada,Canadian Health Care Agency,+1 519-651-0005,www.canadianhealthcare-agency.com,info@chc-a.ca,"8884392979, 5196510005, 8665022422",https://www.linkedin.com/company/canadian-healthcare-agency,https://twitter.com/chc_a,https://www.facebook.com/CanadianHealthCareAgency,https://www.instagram.com/chca_agency
health industry in canada,canada,Apollo Health and Beauty Care,+1 416-758-3700,www.apollocorp.com,"info@apollocorp.com, dsanderson@apollocorp.com, wpereira@apollocorp.com, careers@apollocorp.com, ssinghe@apollocorp.com","4167583700, 4167583701, 18666953030",https://www.linkedin.com/company/apollo-health-and-beauty-care,https://twitter.com/apollocorp,https://www.facebook.com/ApolloCorporation,https://www.instagram.com/apollocorpca
health industry in canada,canada,Canadian Health Coalition,+1 613-699-9898,www.healthcoalition.ca,"hello@healthcoalition.ca, tglynn@healthcoalition.ca, policy@healthcoalition.ca, coordinator@nshealthcoalition.ca, pharmacarenow@gmail.com, justin.trudeau@parl.gc.ca, doug.black@sen.parl.gc.ca, chrystia.freeland@fin.gc.ca, hcminister.ministresc@canada.ca, mike@medicare.ca, barkwell@prontomail.com, j_mctavish@hotmail.com, johnsonianfeb@gmail.com, lee.whitman@hc-sc.gc.ca, edward.xie@utoronto.ca, btholl@rogers.com, cfnu@nursesunions.ca, hna-campbell@hotmail.com, m.panyangara@yahoo.com, koach_14@yahoo.com, ed.cashman.ottawa@gmail.com, jmacl3an@gmail.com, cssante@gmail.com, manitobahealthcoalition@gmail.com","3435581788, 6139968757, 6139954293, 16136999898",,https://twitter.com/HealthCoalition,https://www.facebook.com/CanadianHealthCoalition,https://www.instagram.com/californiahealth.co
health industry in canada,canada,Canadian Home Healthcare Inc,+1 905-844-4725,www.canadianhomehealthcare.ca,"info@canadianhomehealthcare.ca, shop@canadianhomehealthcare.ca, orders@canadianhomehealthcare.ca, sc2canadianrecall5-2022@soclean.com, info@soclean.com, pch.info-info.pch@canada.ca, pc.grandpre.pc@canada.ca, premier@ontario.ca, cnsc.info.ccsn@canada.ca","18002685003, 18773873311, 18779077508",https://www.linkedin.com/company/canadian-home-healthcare-inc,,https://www.facebook.com/filcanhomeandhealthcareservices,https://www.instagram.com/2heartshomecare
health industry in canada,canada,Canadian Healthcare Council,+1 438-320-0097,canadianhealthcarec.ca,info@canadianhealthcarec.ca,143832000979,https://www.linkedin.com/company/canadian-healthcare-council,https://twitter.com/canada_hcouncil,https://www.facebook.com/canadianhealthcarecouncil,https://www.instagram.com/chca_agency
health industry in canada,canada,Canadian Healthcare Engineering Society,+1 613-531-2661,www.ches.org,"info@ches.org, quebecchapterchair@ches.org, pastpresident@ches.org, treasurer@ches.org, president@ches.org, ches@eventsmgt.com, cnoah@c-sgroup.com, chesbceducation@gmail.com, jpb@proactivehazmat.com, chris@osb.ca, rmoore@thomsontechnology.com, info@clickmaint.com, sales@class1inc.com, chesbcconf@shaw.ca, david.heel@ddcdolphin.com, isabelle.champagne@rockfon.com, info@whistlershowservices.com, fred.friedberg@amgmedical.com, brandon.carino@allegion.com, koulis@provtank.com, jauger@sirsteward.com, martin.rego@rwc.com, abc@gmail.com, joshua.belinko@grainger.ca, melissa@kineticgpo.ca, steve@maxpanda.com, amir.mojtahed@bender-ca.com, ks-info.ca@franke.com, dfilipovic@blue-zone.com, info@modernniagara.com, velvet@canstarrestorations.com, info@canadianavinc.com, chesnl@outlook.com, debra.fenton@horizonnb.ca, airsales@niagaraairbus.com, donovanf@ascci.ab.ca, jeff.fleming@firstgeneraledm.ca, infodesk@showtimedisplay.com.in, ops@whistlershowservices.com, carol.cole@stantec.com, info@hahnrentals.com, reservations@hgisaskatoon.com, infodesk@showtimedisplay.com, dereklall67@gmail.com, pierre.gaudreau@camfil.com, reservations@muirhotel.com, segreteria.tecnologia@gmail.com, paule@vision-pv.com, tanya.currie@nshealth.ca, ddennison@eventsmgt.com, tamara.rice@nshealth.ca, gosocial@mediaedge.ca, cdoerksen@hsc.mb.ca, helen.comeau@horizonnb.ca, shannon.small@deltahotels.com, mario.chaisson@deltahotels.com, debbie@hahnrentals.com, ifhe.editorial@stepcomms.com","9052743611, 7055265427, 4032537222, 9052652790, 6472698580, 6137446081, 9056029990, 14165765098, 00000000000, 9054031952, 13062445521, 13063848844",https://www.linkedin.com/company/ches-sciss,https://twitter.com/wwwchessorg,https://www.facebook.com/chesincorg,https://www.instagram.com/ches.sciss
