Query,Country,Name,Phone,Website,Emails,Phones,LinkedIn,Twitter,Facebook,Instagram
health industry in finland,finland,GE Healthcare Finland Oy,+358 10 39411,www.gehealthcare.fi,"medical.information@gehealthcare.com, ville.kauhanen@gehealthcare.com, ville.savolainen@ge.com, finland.sc@ge.com, finlandorders@ge.com, etunimi.sukunimi@ge.com, customerservicefinland@ge.com",18004371171,https://www.linkedin.com/company/gehealthcare,https://twitter.com/GEHealthCare,https://www.facebook.com/pages/GE-Healthcare-Finland-Oy/584617828662377,
health industry in finland,finland,Nordic Healthcare Group Oy,+358 50 4797662,www.nordichealthcaregroup.com,"dataprotection@nhg.fi, vesa.komssi@nhg.fi",358503317978,https://www.linkedin.com/company/nordic-healthcare-group,https://twitter.com/nhg_finland,https://www.facebook.com/pages/Nordic-Healthcare-Group/201632146678175,https://www.instagram.com/nordichealthcaregroup
health industry in finland,finland,Health Innovation Village,+358 10 39411,facebook.com,"iriseseye@aol.com, martin@hotmail.com, elizabeth@yahoo.com, tony@yahoo.com, ricky@yahoo.com, denise@yahoo.com, joshua@yahoo.com, chuck@yahoo.com, gabriel@yahoo.com, gemma@yahoo.com, chandra@yahoo.com, christine@yahoo.com, christina@yahoo.com, romeo@yahoo.com, iqbal@yahoo.com, beverly@yahoo.com, aplusautobodyofdracut@aol.com, samigraytattooart@aol.com, rllafferty@aol.com, ordercheesecake@aol.com, dimatteorosario@msn.com, giggleface76@msn.com, klproctor1@msn.com, mthmike4@msn.com, ctoilkings@aol.com, oolay3056@gmail.com, vosey9@aol.com, gary@aol.com, bill-@hotmail.com, dhanrajd@msn.com, jayandlil@msn.com, mikerobertsverulam@msn.com, violator57@msn.com, csphoto8@msn.com, elettromondo@msn.com, jaquar0426@yahoo.com, heatherlynnphoto@aol.com, smithwrightco@aol.com, signatureaccents@aol.com, anas33mar@gmail.com, reyesraveloelinor@gmail.com, sipho38@gmail.com, mdabdulk909@gmail.com, rajkumar@gmail.com, mamasabacolodj@gmail.com, scshalloween@aol.com, cedistastytreats@aol.com","20531316728, 1015400999050, 18009324616, 6643067629, 6462622186, 3463359716, 01813109105, 6013179020",https://www.linkedin.com/company/facebook,https://twitter.com/facebook,https://www.facebook.com/reg,
health industry in finland,finland,Accord Healthcare Oy,+358 10 2314180,www.accord-healthcare.com,"medinfo@accord-healthcare.com, emena_compliance@accord-healthcare.com, estonia@accord-healthcare.com, press@accord-healthcare.com, poland@accord-healthcare.com, belgium@accord-healthcare.com, contactireland@accord-healthcare.com, usinfo@accord-healthcare.com, pr@accord-healthcare.com, recruitmentbst@accord-healthcare.com, finland@accord-healthcare.com, pvnl@accord-healthcare.com, comunicacion@accord-healthcare.com, office_romania@accord-healthcare.com, bewerbung@accord-healthcare.com, info_italy@accord-healthcare.com, ra_finland@accord-healthcare.com, mena-pv@accord-healthcare.com, careers@accord-healthcare.com, spain_medinfo@accord-healthcare.com, pdp@accord-healthcare.com, asiakaspalvelu@accord-healthcare.com, infohungary@accord-healthcare.com, zinmar_soe@accord-healthcare.com, portugal@accord-healthcare.com, indirizzopress@accord-healthcare.com, fr-compta@accord-healthcare.com, kontakt@accord-healthcare.com, lenalidomid@accord-healthcare.com, office@accord-healthcare.pl, admin_myanmar@accord-healthcare.com, custservice_it@accord-healthcare.com, logistics_italy@accord-healthcare.com, hr_iberia@accord-healthcare.com, jane_clarke@accord-healthcare.com, mena-info@accord-healthcare.com, ramyanmar@accord-healthcare.com, enquiries@cvmpeople.com, pv@in2pharma.com, nansi644@gmail.com, warsaw.drug_safety@roche.com, ndl@urpl.gov.pl, zamowienia@accord-healthcare.pl, accord-healthcare-ordini@pec.it, medsafety@hpra.ie, accord.pv@tepsivo.com, accord-healthcare-fv@pec.it, pol.aereporting@pfizer.com, adr@mbrconsulting.com.pl, pv.poland@viatris.com, lenalidomid@accord.healthcare.com","01271385200, 4401271385257, 3530214619040",https://www.linkedin.com/company/accord-healthcare,https://twitter.com/AccordBioPharma,,https://www.instagram.com/accordcare
health industry in finland,finland,Cardinal Health Finland Oy,,www.cardinalhealth.com,"rbc@cardinalhealth.com, cardinalcareers@cardinalhealth.com, dpo@cardinalhealth.com, erich.timmerman@cardinalhealth.com, gmb-coc-med@cardinalhealth.com, optimizationservices@cardinalhealth.com, governmentrequests@cardinalhealth.com, cuserv@cardinalhealth.com, optifreightltl@cardinalhealth.com, fluteam@cardinalhealth.com, brittany.julian@cardinalhealth.com, matt.sims@cardinalhealth.com, kerry.christopher@cardinalhealth.com, cari.wildasinn@cardinalhealth.com, gmb-front-end@cardinalhealth.com, privacy@cardinalhealth.com, investor.relations@cardinalhealth.com, emailmatt.sims@cardinalhealth.com, qacertificates@cardinalhealth.com, biopharmaservices@cardinalhealth.com, npsmedicalinfo@cardinalhealth.com, npssafety@cardinalhealth.com, gmb-chc-east-region@cardinalhealth.com, gmb-chc-central@cardinalhealth.com, vita.balistrere@cardinalhealth.com, pam.rader-keller@cardinalhealth.com, cardinalsurgicalgownrecall@cardinalhealth.com, dscsainfo@cardinalhealth.com, specialtysolutions@cardinalhealth.com, infopr@cardinalhealth.com, g-pr005-suppliermgt@cardinalhealth.com, certificates@cardinalhealth.com, vendoredi@cardinalhealth.com, asc@cardinalhealth.com, wavemark@cardinalhealth.com, vetpr@cardinalhealth.com, andrew.stern@cardinalhealth.com, gmb-myaccess@cardinalhealth.com, optifreightcustomercare@cardinalhealth.com, fiona.perdisatt@cardinalhealth.com, ruairi.keyes01@cardinalhealth.com, cleanroomgloves@cardinalhealth.com, communityrelations@cardinalhealth.com, zeta.hayes@cardinalhealth.com, gmb-mps-del-cv@cardinalhealth.com, empleospr@cardinalhealth.com, morales@cardinalhealth.com, jonathan.adams@cardinalhealth.com, woraya_ngamboonchuen@cardinalhealth.com, cervantes.rosacay@cardinalhealth.com, estorninos@cardinalhealth.com, charlene.estorninos@cardinalhealth.com, rod.reck@cardinalhealth.com, vpac@cardinalhealth.com, dave.winterling@cardinalhealth.com, jomar.brazil@cardinalhealth.com, amazingdesigncollections@yahoo.com, arreola@cardinalhealth.com, tshelp@accessbio.net, harvarddrug8430@sedgwick.com, programservices@sonxtra.com, gmb-cordis-customer-support@cordis.com, info@intrivo.com, info@microbiologics.com, techsupport@microbiologics.com, orders@auditmicro.com, customerfeedback@alarismed.com, mgc-masorders@thermofisher.com, media@flyzipline.com, tfritcher@tdsclinical.com, abedi@psiengineering.com, cardinalhealth7720@sedgwick.com, support@q4inc.com, response@merit.com, john.smith@user.com, info@accessbio.net, tax@cordis.com, cdrh-eua-reporting@fda.hhs.gov, ts.scr@abbott.com, sales@mcjohnson.com, customerservice@quidel.com, technicalsupport@quidel.com, customerservice@seracare.com, nucmedsales@ezag.com, sales@perfctwetwipe.com, sales@watmindusa.com, swm.customerservice@covidien.com, mgc-va@thermofisher.com, jjones@supplier.com, orthocovid19test@orthoclinicaldiagnostics.com, jpyok-cdd.qc@thermofisher.com, tlcpharmacydme@gmail.com, sumeetchandra@gmail.com, jfxucn@gmail.comcorresponding",6147575000,https://www.linkedin.com/company/cardinal-health,https://twitter.com/cardinalhealth,https://www.facebook.com/CardinalHealthInc,https://www.instagram.com/cardinalhealthcare
health industry in finland,finland,Health Traders Finland Oy,+358 40 0906642,www.healthtraders.fi,"info@healthtraders.fi, info@healthtraders.net, niila.ronka@healthtraders.net, ari.ronka@healthtraders.net",358400906642,https://www.linkedin.com/company/health-traders,https://twitter.com/Health__Trader,https://www.facebook.com/healthtraders,https://www.instagram.com/healthtrades
health industry in finland,finland,Krka Finland Oy,+358 20 7545330,www.krka.fi,"info@krka.biz, johtajainfo.fi@krka.biz","38673312111, 38673321537",https://www.linkedin.com/company/krka,,https://www.facebook.com/npkrka,https://www.instagram.com/krkaofficial
health industry in finland,finland,Oy Bristol-Myers Squibb (Finland) Ab,+358 9 25121230,www.bms.com,"media@bms.com, adastaffingsupport@bms.com, medischeafdeling@bms.com, infomedicalatam@bms.com, paf.uk.ire@bms.com, medicalinfo.belgium@bms.com, ca@bms.com, eudpo@bms.com, timothy.power@bms.com, medinfo.australia@bms.com, contact.australia@bms.com, supplier_verification@bms.com, sac.brz@bms.com, investor.relations@bms.com, medinfo.india@bms.com, margaret.brusletto@bms.com, marie-theres.berger@bms.com, grantsandgiving@bms.com, benefits.services@mybenefitsatbms.com, bmsboardofdirectors@bms.com, bmsinvoices.na@bms.com, maria-bravo@bms.com, mediaindia@bms.com, priyanka.shah1@bms.com, frederique.saas@bms.com, carrie.fernandez@bms.com, christina.trank@bms.com, talentuk@bms.com, jonghee.kang@bms.com, lisa.rosewarne@bms.com, maria.deutsch@bms.com, khushboo.bhatia@bms.com, rachel.every@bms.com, sandy.meawad@bms.com, john.elicker@bms.com, ranya.dajani@bms.com, bms.india@bms.com, medinfo.singapore@bms.com, dpo@bms.com, support_grantsandgiving@bms.com, eugenia.fernicoladiaz@bms.com, customerinfo.it@bms.com, redazione.it@bms.com, bestellung@bms.com, bmsconsultantlink@lecturelinx.com, close.out@bms.com, proveedores.latam@bms.com, hd-sci-apps@bms.com, apat@bms.com, priscilla.ko@bms.com, jennifer.torres@bms.com, ombudsman@bms.com, informacja.medyczna@bms.com, medinfo.denmark@bms.com, lucas.lundahl@bms.com, bridgingcancercare@bms.com, posh_hydbms@bms.com, mededadministration@bms.com, drugsafety-netherlands@bms.com, informacion.medica@bms.com, william.szablewski@bms.com, revcarebrasil@bms.com, bd-hemact@bms.com, bd-pdxbiomarkers@bms.com, bd-ret@bms.com, efss.front-office@bms.com, thomas.brieva@bms.com, bmspatientlink@lecturelinx.com, example@email.com.hcp, medinfo.greece@bms.com, cass.bruno@bms.com, contact@batterie-bms.com, elgarcia@erwin-bms.com, clinical.trials@bms.com, pablogandino@gmail.com, penny.leavitt@bms.com, ngoworek@celgene.com, imnovid@icta.fr, 212-733-8009suzanne.harnett@pfizer.com, chiara.rasso@ketchum.com.ar, ehermesd@pharmacy.rutgers.edu, rayzebio@georgeson.com, ir@tptherapeutics.com, sutherland@informinc.com, dechateaum@gmail.com, murric@aol.com, d2mcs@dhl.com, emily.aboujaoude@pharmacy.rutgers.edu, info@rayzebio.com, bmy@dfking.com, wfscustomerservice@wellsfargo.com, barclaysprospectus@broadridge.com, prospectus@morganstanley.com, bms@pmaglobal.co, canadavigilance@hc-sc.gc.ca, privacy@mirati.com, anne@dragonflytx.com, karl.j.hard@astrazeneca.com, dctcdpinfo@nmfonline.org, communications510-731-5335green@kosan.com, batprospectusdept@citi.com, 44-207-604-8123karl.j.hard@astrazeneca.com, 82-010-4208-0884changsiik.park@samsung.com, jorgen.winroth@astrazeneca.com, 908-243-9945tracy.henrikson@imclone.com, century@argotpartners.com, zhang_tianyi0101@wuxiapptec.com, nicolas.torres@ketchum.com.ar, aallevato@lalcec.org.ar, drug.safety@novartis.com, a.adebajo@btinternet.com, gabriela.fundacionsandraibarra@gmail.com, mkalbazzaz@gmail.com, farmworkerassoc@aol.com, hledesma@vcc.clinic, info@bms.com.mk, contact@bms.com.tn","18003322056, 18007215072, 18006736242, 8007360003, 8663407332, 080040074030, 8800555648930, 18445573344, 18445894155",https://www.linkedin.com/company/bristol-myers-squibb,https://twitter.com/bmsnews,https://www.facebook.com/BristolMyersSquibb,https://www.instagram.com/bristolmyerssquibb
health industry in finland,finland,Siemens Healthcare Oy,,www.siemens-healthineers.com,"dataprivacy.communications@siemens-healthineers.com, ulrich.kuenzel@siemens-healthineers.com, jeffrey.t.bell@siemens-healthineers.com, matthias.kraemer@siemens-healthineers.com, julie.gibson@siemens-healthineers.com, rsc.americas.poc-it.team@siemens-healthineers.com, georgina.prodhan@siemens-healthineers.com, consulting@siemens-healthineers.com, felix.michelfeit@siemens-healthineers.com, heiko.jahr@siemens-healthineers.com, julia.donhauser@siemens-healthineers.com, contactir.team@siemens-healthineers.com, ensalesguide.team@siemens-healthineers.com, id_iis.team@siemens-healthineers.com, medmuseum.team@siemens-healthineers.com, dx-bestellung-at.team@siemens-healthineers.com, ld_iis.team@siemens-healthineers.com, jessica.sitzes.ext@siemens-healthineers.com, deepa.priyadarshini@siemens-healthineers.com, enews.healthcare@siemens.com, csirt@siemens-healthineers.com, dataprivacy.func@siemens-healthineers.com, innovationthinktank.team@siemens-healthineers.com, jane.beyer@siemens-healthineers.com, customercare@petnetsolutions.com, infogeral.h.pt@siemens.com, ssmr-tc-admin.healthcare@siemens.com, andrea.nugnes@inpeco.com, a.saltamonte@ac-sesto.com, clinicaleducation.healthcare@siemens.com, healthcare.au@siemens-healtineers.com, holly.nelson2@imail.org, patrick.kampert@ssmhealth.com, annie.seiple@siemens.com, trainingcentershanghai.med@siemens.com, atulda@hotmail.com, support@radlink.com, drtuan115@gmail.com, dr.mathewcherian@gmail.com, dr.shilpesh@gmail.com, dag.sjolie@gmail.com, dott.s.sgroi@gmail.com","8008887436, 4969668266028, 0020102022, 8334762772, 18882229944, 447808828799, 499131845442",https://www.linkedin.com/company/siemens-healthineers,https://twitter.com/siemenshealth,https://www.facebook.com/SiemensHealthineers,https://www.instagram.com/siemens.healthineers
health industry in finland,finland,Health Design,+358 40 7637918,healthdesign.io,otto.olavinen@northbay.fi,358407637918,https://www.linkedin.com/company/healthdesign,https://twitter.com/health_io,https://www.facebook.com/healthdesign.io,https://www.instagram.com/health.io
