Query,Country,Name,Phone,Website,Emails,Phones,LinkedIn,Twitter,Facebook,Instagram
health industry in united kingdom,kingdom,Direct Healthcare Group Ltd.,+44 800 043 0881,www.directhealthcaregroup.com,"info@directhealthcaregroup.com, pia.beck@directhealthcaregroup.com, marketing@directhealthcaregroup.com, ethos@directhealthcaregroup.com, rhys.donovan@directhealthcaregroup.com, smh@directhealthcaregroup.com, fornamn.efternamn@directhealthcaregroup.com, service.se@directhealthcaregroup.com, info.no@directhealthcaregroup.com, info.nl@directhealthcaregroup.com, jade.moss@directhealthcaregroup.com, service.dk@directhealthcaregroup.com, beck@directhealthcaregroup.com, sales@talleygroup.com, financesolutions@directhealthcaregroup.com, alison.mcgrath@directhealthcaregroup.com, mie.berthelsen@directhealthcaregroup.com, info@directhealthcareservices.com.au, henrik.jager.rasmussen@directhealthcaregroup.com, simone.kolbaek@directhealthcaregroup.com, accounts@directhealthcaregroup.com, order.se@directhealthcaregroup.com, info@medicatlantic.fr, info@kirtonhealthcare.co.uk, info@mercado.se, office@logicdata.at, info@carilex.de, info@directhealthcareservices.co.uk, info@haelvoet.be, order.se@directhealthcaregroup.se, info.se@directhealthcaregroup.se, office@romedic.com, contact@askle.com, abushby@omniamed.com, info.ls@handicare.com, sales@carilexmedical.com, sales@directhealthcareservices.co.uk, g.eichhober@ipf-ac.at, m.voit@ipf-ac.at, boomergo@hetnet.nl, sales@selecthealthcare.co.uk, kundeservice.no@mediq.com, info@ergolet.dk, info@ropox.dk, ethos@handicare.com, brothers@outlook.com, info@directhealthcareservices.com, info@nightingalebeds.co.uk, sales@sumed.co.uk, jacqui.fletcher@live.com, tqmuk@aol.com","0800212709, 610423852810, 4408000430881",https://www.linkedin.com/company/direct-healthcare-group,https://twitter.com/Direct_HG,https://www.facebook.com/directhealthcare24,https://www.instagram.com/DirectPTDX
health industry in united kingdom,kingdom,General Healthcare Ltd,+44 20 8848 7766,www.genhealthcare.co.uk,"support@genhealthcare.co.uk, b2b@genhealthcare.co.uk, recruitment@nugen-healthcare.co.uk","4402088487766, 07541546994",https://www.linkedin.com/company/new-gen-healthcare,https://twitter.com/Growth_Lending,https://www.facebook.com/GainHealthcareUK,https://www.instagram.com/joanna_bensz
health industry in united kingdom,kingdom,Harvest Healthcare Ltd,+44 1709 377172,harvesthealthcare.co.uk,"sales@harvesthealthcare.co.uk, enquiries@harvesthealthcare.co.uk, servicing@harvesthealthcare.co.uk, abby.shepherd@harvesthealthcare.co.uk, rental@harvesthealthcare.co.uk, technical@harvesthealthcare.co.uk, lynne.buchanan@harvesthealthcare.co.uk, head.property@advinia.com, hr@breezehealthcare.co.uk, info@tecfor-care.com","01709377172, 4401709377172, 01218281969",https://www.linkedin.com/company/harvest-healthcare-ltd,https://twitter.com/harvesthealthuk,https://www.facebook.com/groups/1469227833407666,https://www.instagram.com/harvesthealthcare
health industry in united kingdom,kingdom,Healthcare Conferences UK,+44 1932 429933,www.healthcareconferencesuk.co.uk,"jayne@hc-uk.org.uk, info@hc-uk.org.uk, carolyn@healthcareconferencesuk.co.uk, carolyn@hc-uk.org.uk, katym@hc-uk.org.uk, drmohamedarafaortho@gmail.com, mohamed.arafa@ldh.nhs.uk, liaisonmanagers@ombudsman.org.uk, jayne@hc-uk.org, sas@sst-institute.net, mohamed_arafa@med.menofia.edu, medicalinformation@advanzpharma.com, melissa.taylor@jpaget.nhs.uk, paul@beaux-arts.co.uk, info@lavendermedical.com, kim.okeeffe@nhs.net, rene.gray@jpaget.nhs.uk, jon.goldin@gosh.nhs, john.welch@nhs.net, aleksandra.howell@nhs.net, amit.arora@uhns.nhs.uk, j.c.wyatt@soton.ac.uk, tania@dataprivacysimplified.co.uk, bethanydeer@hotmail.com, munt12@aol.com, sarahjane@hc-uk.org.uk, kerry@hc-uk.org.uk, wounded.healer@nhs.net, emilyw@hc-uk.org.uk, hannah@mentalcapacitycat.co.uk, contact@drjongoldin.co.uk, pamela.permalloo-bass@southernhealth.nhs.uk, kathryn.parry2@nhs.net, healthinfluencing@ageuk.org.uk, louise.m.smith@esneft.nhs.uk, mohamed_arafa@med.menofia.edu.eg, safesurgeries@doctorsoftheworld.org.uk, drpgough@aol.com, glw958@gmail.com, tinawe.eclm@gmail.com",01932429933,https://www.linkedin.com/company/healthcare-conferences-uk-ltd,https://twitter.com/HCUK_Clare,https://www.facebook.com/HealthcareConferencesUK,https://www.instagram.com/healthcareconferencesuk
health industry in united kingdom,kingdom,Health Innovations Ltd,+44 1756 636615,healthinnovations.uk,"enquiries@healthinnovations.uk, sarah.oxtoby@healthinnovations.uk, julie.spedding@healthinnovations.uk, spedding@healthinnovations.uk, oxtoby@healthinnovations.uk, enquiries@hostilkley.co",4401756636615,https://www.linkedin.com/company/health-innovations-uk,https://twitter.com/health_inno,https://www.facebook.com/HealthInnovationsUK,https://www.instagram.com/healthinnovationsuk
health industry in united kingdom,kingdom,NorthWest EHealth Ltd,+44 161 672 5630,nweh.co.uk,"hello@nweh.co.uk, info@nweh.co.uk, sue.d.collier@gsk.com",01616725630,https://www.linkedin.com/company/nweh,https://twitter.com/NWEHealth,https://www.facebook.com/cartridges4charity,https://www.instagram.com/nhse_wte
health industry in united kingdom,kingdom,Impact Health Limited,+44 20 8320 3820,www.impacth.co.uk,"info@target-healthcare.co.uk, enquiries@impact-models.co.uk, marketing@impact-workwear.co.uk",08456180036,https://www.linkedin.com/company/impact-health-limited,https://twitter.com/impact_uk_,https://www.facebook.com/impactsolutions16,https://www.instagram.com/impactfoundation_uk
health industry in united kingdom,kingdom,HealthCare International Group (HCI Group),+44 20 7590 8800,www.healthcareinternational.com,"enquiries@healthcareinternational.com, claims@healthcareinternational.com, francis@healthcareinternational.com, hci@euro-center.com","4402075908800, 4402075908816, 4402039064000, 66025690118",https://www.linkedin.com/company/hcigroupglobal,https://twitter.com/hciglobalgroup,https://www.facebook.com/HealthCareInternationalGroup,https://www.instagram.com/hcigroup_global
health industry in united kingdom,kingdom,UnitedHealthcare Global,+44 20 3907 4920,www.uhcglobal.com,"expatinsurance_memberservices@uhcglobal.com, assistance@uhcglobal.com, assistance_privacy@uhcglobal.com, gmprivacy@uhcglobal.com, uhcginsprovider@uhcglobal.com, euprivacy@uhcglobal.com, global_info@uhcglobal.com, manpower@uhcglobal.com, gmsales@uhcglobal.com, david.gullino@uhcglobal.com, intelligence@uhcglobal.com, brent.judge@uhcglobal.com, rebecca.d.miller@uhcglobal.com, erika.rogers@uhcglobal.com, greg.ruggiero@uhcglobal.com, louis_fried@uhcglobal.com, contactus@uhcgfze.com, uhg_privacy_office@uhg.com, clinicalresourcing@uhcglobal.com, info@solaceglobal.com, uhg_privacy_office@uhc.com, mailbox@uhcgfze.com, admin@solaceglobal.com, enquiries@medekit.com, legalmail@uhg.com","18443867491, 18005270218, 14104536330, 4401594545115, 8772776096, 4401594545100",https://www.linkedin.com/company/uhcglobal,https://twitter.com/UHC4Communities,https://www.facebook.com/UnitedHealthcare,https://www.instagram.com/tiffanyniyasia
health industry in united kingdom,kingdom,Besins Healthcare UK Ltd,+44 20 3862 0920,besinshealthcare.co.uk,"information@besins-healthcare.com, wendy@bb-healthcare.co.uk, info@sure-healthcare.co.uk, jobs@nightingale-healthcare.co.uk, besins@eu.propharmagroup.com, dataprivacyuk@besins-healthcare.com",442038620920,https://www.linkedin.com/company/besins-healthcare-uk,,https://www.facebook.com/p/Besins-Healthcare-61551373923068,https://www.instagram.com/besins.healthcare
